,station_code,city_name,year,month,day,rainfall,period,quality,lat,long,station_name,avg_rainfall
65,9151,Perth,1968,3,17,8.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
66,9151,Perth,1968,3,25,16.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
67,9151,Perth,1968,3,26,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
68,9151,Perth,1968,3,27,8.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
69,9151,Perth,1968,3,28,9.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
70,9151,Perth,1968,3,29,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
71,9151,Perth,1968,4,2,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
72,9151,Perth,1968,4,8,4.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
73,9151,Perth,1968,4,9,9.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
74,9151,Perth,1968,4,10,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
75,9151,Perth,1968,4,11,6.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
76,9151,Perth,1968,4,12,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
77,9151,Perth,1968,4,14,8.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
78,9151,Perth,1968,4,16,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
79,9151,Perth,1968,4,17,9.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
80,9151,Perth,1968,4,18,9.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
81,9151,Perth,1968,4,19,3.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
82,9151,Perth,1968,4,24,2.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
83,9151,Perth,1968,4,25,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
84,9151,Perth,1968,4,26,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
85,9151,Perth,1968,4,27,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
86,9151,Perth,1968,4,30,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
87,9151,Perth,1968,5,1,5.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
88,9151,Perth,1968,5,2,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
89,9151,Perth,1968,5,8,3.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
90,9151,Perth,1968,5,9,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
91,9151,Perth,1968,5,14,16.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
92,9151,Perth,1968,5,15,0.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
93,9151,Perth,1968,5,30,12.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
94,9151,Perth,1968,5,31,2.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
95,9151,Perth,1968,6,1,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
96,9151,Perth,1968,6,3,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
97,9151,Perth,1968,6,4,13.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
98,9151,Perth,1968,6,5,1.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
99,9151,Perth,1968,6,8,7.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
100,9151,Perth,1968,6,9,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
101,9151,Perth,1968,6,10,3.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
102,9151,Perth,1968,6,11,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
103,9151,Perth,1968,6,12,15.7,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
104,9151,Perth,1968,6,13,57.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
105,9151,Perth,1968,6,14,5.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
106,9151,Perth,1968,6,15,1.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
107,9151,Perth,1968,6,16,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
108,9151,Perth,1968,6,17,13.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
109,9151,Perth,1968,6,18,3.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
110,9151,Perth,1968,6,24,8.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
111,9151,Perth,1968,6,25,8.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
112,9151,Perth,1968,6,26,11.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
113,9151,Perth,1968,6,27,11.7,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
114,9151,Perth,1968,6,29,15.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
115,9151,Perth,1968,6,30,22.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
116,9151,Perth,1968,7,1,4.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
117,9151,Perth,1968,7,3,5.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
118,9151,Perth,1968,7,4,3.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
119,9151,Perth,1968,7,5,16.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
120,9151,Perth,1968,7,6,1.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
121,9151,Perth,1968,7,7,13.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
